id,structure_id,component_id,override_amount,override_percentage,added_at
7a027dc7-19cf-4857-aa65-57aa68c7a0e2,SS-001,COMP-BASIC,,,2026-06-28T22:35:06.200162
daf3d14a-9208-430a-8615-71293a1106ff,SS-001,COMP-HRA,,,2026-06-28T22:35:06.200162
22bdb06f-396f-4fb8-bedb-843656f2572a,SS-001,COMP-DA,,,2026-06-28T22:35:06.200162
1b15cca5-275d-4436-962f-be115d3d1d05,SS-001,COMP-SPECIAL,,,2026-06-28T22:35:06.200162
b0d7be9a-682b-4249-86c0-03ebdb4c446c,SS-001,COMP-CONV,,,2026-06-28T22:35:06.200162
5aaee4ff-2624-49b0-8f91-1ca2471e76d6,SS-001,COMP-MED,,,2026-06-28T22:35:06.200162
24c0f329-3f1f-426d-830f-e91a82e69680,SS-001,COMP-BONUS,,,2026-06-28T22:35:06.200162
7326a770-0fc7-4534-a694-3c65fc9755fc,SS-001,COMP-INCENT,,,2026-06-28T22:35:06.200162
1c1d2c33-d753-48b0-b0a7-454004fc75bc,SS-001,COMP-PF,,,2026-06-28T22:35:06.200162
22d3a52f-9cc6-47ef-ae35-805fd7e68a7d,SS-001,COMP-ESI,,,2026-06-28T22:35:06.200162
56f216cd-c8d6-402e-9e0a-030babd4d7ea,SS-001,COMP-PT,,,2026-06-28T22:35:06.200162
a9a75497-93f0-4aff-8037-048002fd6a59,SS-001,COMP-LWF,,,2026-06-28T22:35:06.200162
fb572da0-6b82-4aa3-980e-6daec62cb6eb,SS-001,COMP-LOAN,,,2026-06-28T22:35:06.200162
d862c8f6-c43b-4c30-843a-3e88bf9937c1,SS-001,COMP-TDS,,,2026-06-28T22:35:06.200162
